"num_species","num_observations_per_deployment","Threshold_Metric_mean","Threshold_Metric_sd","Mean_Metric_mean","Mean_Metric_sd","target"
5,1000,32.55,22.1219644953,19.67,17.4524201673284,70
5,5000,16.03,14.8006654232064,9.31,6.5284072337823,70
5,10000,12.04,12.7445135749712,8.05,5.20562050561553,70
30,1000,81.55,38.3195956938668,74.9,18.6002606694018,70
30,5000,70,0,69.79,2.1,70
30,10000,68.95,4.70627133716171,65.87,10.1021599850545,70
50,1000,26.04,44.1272082172723,102.97,51.2493320971507,70
50,5000,70,0,70,0,70
50,10000,70,0,70,0,70
